authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"C. Labandeira","C. Labandeira","M. Clapham",5039,"T. D. A.",Cockerell,,,,1913,"Two new fossil insects from Florissant, Colorado with a discussion of the venation of the aeshnine dragonflies","Proceedings of the United States National Museum",,45,,577,583,"journal article","stated with evidence",English,,"ETE reference number 751",ETE,751,"2002-03-04 16:40:45","2013-03-02 21:56:44"
"M. Clapham","M. Clapham",,40301,"T. D. A.",Cockerell,,,,1913,"The first fossil Mydaid fly",Entomologist,,46,,207,208,"journal article","stated with evidence",English,,,,,"2012-02-20 16:40:19","2012-02-19 23:40:19"
"M. Clapham","M. Clapham",,45252,"T. D. A.",Cockerell,,,,1913,"A fossil asilid fly from Colorado","The Entomologist",,46,,213,214,"journal article","stated with evidence",English,,,,,"2013-03-03 14:38:43","2013-03-02 21:38:43"
"M. Clapham","M. Clapham",,49123,"T. D. A.",Cockerell,,,,1913,"The genera Parotermes and Hodotermes (Isoptera)","Entomological News",,24,,6,8,"journal article","stated with evidence",English,,,,,"2013-11-26 00:36:32","2013-11-26 00:36:32"
"M. Clapham","M. Clapham",,45254,"T. D. A.",Cockerell,,,,1914,"Three Diptera from the Miocene of Colorado","The Canadian Entomologist",,46,,101,102,"journal article","stated with evidence",English,,,,,"2013-03-03 15:27:49","2013-03-02 22:27:49"
"M. Clapham","M. Clapham",,45255,"T. D. A.",Cockerell,,,,1914,"The fossil and recent Bombyliidae compared","Bulletin of the American Museum of Natural History",,33,,229,236,"journal article","stated with evidence",English,,,,,"2013-03-03 15:35:54","2013-03-02 22:35:54"
"M. Clapham","M. Clapham","M. Clapham",40480,"T. D. A.",Cockerell,,,,1915,"Miocene fossil insects","Proceedings of the Academy of Natural Sciences of Philadelphia",,66,,634,648,"journal article","stated with evidence",English,,"Listed as 1914 in Treatise, but pages 619-666 were issued Jan 23, 1915.",,,"2012-02-29 05:59:56","2012-02-28 13:12:22"
"M. Clapham","M. Clapham",,40318,"T. D. A.",Cockerell,,,,1916,"Some American fossil insects","Proceedings of the United States National Museum",,51,,89,106,"journal article","stated with evidence",English,,,,,"2012-02-21 12:37:17","2012-02-20 19:37:17"
"M. Clapham","M. Clapham",,45266,"T. D. A.",Cockerell,,,,1918,"New species of North American fossil beetles, cockroaches, and tsetse flies","Proceedings of the United States National Museum",,54,,301,311,"journal article","stated with evidence",English,,,,,"2013-03-04 11:19:30","2013-03-03 18:19:30"
"C. Labandeira","C. Labandeira","M. Clapham",5004,"T. D. A.",Cockerell,,,,1919,"Some fossil parasitic Hymenoptera","American Journal of Science, Series 4",,47,,376,380,"journal article","stated with evidence",English,,"ETE reference number 716",ETE,716,"2002-03-04 16:40:45","2013-03-03 19:29:23"
